21:22:54.314	1	up	3	5	Floor
14:05:15.000	2	up	4	2	None
04:55:20.524	4	up	5	8	None
04:55:20.524	6	down	2	2	Door
04:55:20.524	3	down	1	2	None
04:55:20.524	22	down	1	8	None
04:55:20.524	1	up	22	2	Door
04:55:20.524	10	up	15	2	None
04:55:20.524	19	down	4	4	Door
04:55:20.524	10	up	11	2	None
04:55:20.524	3	down	1	8	None
04:55:20.524	7	up	14	2	None
04:55:20.524	4	down	3	8	None
04:55:20.524	3	up	13	2	None
04:55:20.524	21	up	22	8	None
04:55:20.524	5	down	2	8	None
04:55:20.524	4	up	12	2	None
04:55:20.524	18	up	21	8	None
